site;var_name;value;exceldate
Ahaus;precipitation height;0.10;19227
Ahaus;precipitation height;0.00;19228
Ahaus;precipitation height;0.00;19229
Ahaus;precipitation height;0.00;19230
Ahaus;precipitation height;0.00;19231
Ahaus;precipitation height;0.00;19232
Ahaus;precipitation height;2.10;19233
Ahaus;precipitation height;0.00;19234
Ahaus;precipitation height;0.00;19235
Ahaus;precipitation height;0.50;19236
Ahaus;precipitation height;0.50;19237
Ahaus;precipitation height;0.00;19238
Ahaus;precipitation height;0.00;19239
Ahaus;precipitation height;11.90;19240
Ahaus;precipitation height;1.40;19241
Ahaus;precipitation height;0.00;19242
Ahaus;precipitation height;1.30;19243
Ahaus;precipitation height;0.00;19244
Ahaus;precipitation height;0.20;19245
Ahaus;precipitation height;0.10;19246
Ahaus;precipitation height;0.00;19247
Ahaus;precipitation height;0.00;19248
Ahaus;precipitation height;0.00;19249
Ahaus;precipitation height;0.00;19250
Ahaus;precipitation height;0.00;19251
Ahaus;precipitation height;0.00;19252
Ahaus;precipitation height;0.00;19253
Ahaus;precipitation height;0.60;19254
Ahaus;precipitation height;4.00;19255
Ahaus;precipitation height;0.40;19256
Ahaus;precipitation height;3.30;19257
Ahaus;precipitation height;13.30;19258
Ahaus;precipitation height;0.20;19259
Ahaus;precipitation height;0.10;19260
Ahaus;precipitation height;2.00;19261
Ahaus;precipitation height;8.70;19262
Ahaus;precipitation height;0.90;19263
Ahaus;precipitation height;1.60;19264
Ahaus;precipitation height;0.60;19265
Ahaus;precipitation height;1.30;19266
Ahaus;precipitation height;2.00;19267
Ahaus;precipitation height;1.20;19268
Ahaus;precipitation height;0.60;19269
Ahaus;precipitation height;0.40;19270
Ahaus;precipitation height;3.40;19271
Ahaus;precipitation height;1.90;19272
Ahaus;precipitation height;5.30;19273
Ahaus;precipitation height;4.40;19274
Ahaus;precipitation height;0.20;19275
Ahaus;precipitation height;2.80;19276
Ahaus;precipitation height;1.80;19277
Ahaus;precipitation height;0.00;19278
Ahaus;precipitation height;0.00;19279
Ahaus;precipitation height;9.90;19280
Ahaus;precipitation height;8.80;19281
Ahaus;precipitation height;7.20;19282
Ahaus;precipitation height;1.10;19283
Ahaus;precipitation height;0.10;19284
Ahaus;precipitation height;0.00;19285
Ahaus;precipitation height;0.00;19286
Ahaus;precipitation height;0.00;19287
Ahaus;precipitation height;0.60;19288
Ahaus;precipitation height;0.60;19289
Ahaus;precipitation height;1.40;19290
Ahaus;precipitation height;1.90;19291
Ahaus;precipitation height;0.20;19292
Ahaus;precipitation height;1.20;19293
Ahaus;precipitation height;0.00;19294
Ahaus;precipitation height;4.90;19295
Ahaus;precipitation height;2.70;19296
Ahaus;precipitation height;2.90;19297
Ahaus;precipitation height;0.00;19298
Ahaus;precipitation height;5.60;19299
Ahaus;precipitation height;17.30;19300
Ahaus;precipitation height;0.00;19301
Ahaus;precipitation height;3.30;19302
Ahaus;precipitation height;4.30;19303
Ahaus;precipitation height;18.50;19304
Ahaus;precipitation height;12.60;19305
Ahaus;precipitation height;0.60;19306
Ahaus;precipitation height;2.90;19307
Ahaus;precipitation height;0.50;19308
Ahaus;precipitation height;0.10;19309
Ahaus;precipitation height;1.10;19310
Ahaus;precipitation height;0.10;19311
Ahaus;precipitation height;0.10;19312
Ahaus;precipitation height;0.20;19313
Ahaus;precipitation height;0.00;19314
Ahaus;precipitation height;0.00;19315
Ahaus;precipitation height;0.00;19316
Ahaus;precipitation height;2.20;19317
Ahaus;precipitation height;0.00;19318
Ahaus;precipitation height;6.10;19319
Ahaus;precipitation height;0.60;19320
Ahaus;precipitation height;2.90;19321
Ahaus;precipitation height;0.60;19322
Ahaus;precipitation height;0.00;19323
Ahaus;precipitation height;0.00;19324
Ahaus;precipitation height;3.50;19325
Ahaus;precipitation height;0.20;19326
Ahaus;precipitation height;0.00;19327
Ahaus;precipitation height;0.00;19328
Ahaus;precipitation height;0.00;19329
Ahaus;precipitation height;0.20;19330
Ahaus;precipitation height;0.50;19331
Ahaus;precipitation height;0.00;19332
Ahaus;precipitation height;4.50;19333
Ahaus;precipitation height;0.00;19334
Ahaus;precipitation height;0.00;19335
Ahaus;precipitation height;0.00;19336
Ahaus;precipitation height;0.00;19337
Ahaus;precipitation height;0.00;19338
Ahaus;precipitation height;4.80;19339
Ahaus;precipitation height;2.10;19340
Ahaus;precipitation height;11.30;19341
Ahaus;precipitation height;0.30;19342
Ahaus;precipitation height;0.10;19343
Ahaus;precipitation height;9.50;19344
Ahaus;precipitation height;0.60;19345
Ahaus;precipitation height;0.00;19346
Ahaus;precipitation height;3.20;19347
Ahaus;precipitation height;9.90;19348
Ahaus;precipitation height;1.50;19349
Ahaus;precipitation height;5.60;19350
Ahaus;precipitation height;0.10;19351
Ahaus;precipitation height;12.60;19352
Ahaus;precipitation height;0.30;19353
Ahaus;precipitation height;4.50;19354
Ahaus;precipitation height;0.90;19355
Ahaus;precipitation height;0.00;19356
Ahaus;precipitation height;0.00;19357
Ahaus;precipitation height;0.00;19358
Ahaus;precipitation height;0.00;19359
Ahaus;precipitation height;0.00;19360
Ahaus;precipitation height;0.00;19361
